k=7 : a=70, b=166, c=96, length = 664, b == a+c - True, <lcm - True
k=7 : a=96, b=166, c=70, length = 664, b == a+c - True, <lcm - True
k=7 : a=8, b=168, c=160, length = 672, b == a+c - True, <lcm - True
k=7 : a=10, b=168, c=158, length = 672, b == a+c - True, <lcm - True
k=7 : a=18, b=168, c=150, length = 672, b == a+c - True, <lcm - True
k=7 : a=20, b=168, c=148, length = 672, b == a+c - True, <lcm - True
k=7 : a=28, b=168, c=140, length = 672, b == a+c - True, <lcm - True
k=7 : a=30, b=168, c=138, length = 672, b == a+c - True, <lcm - True
k=7 : a=38, b=168, c=130, length = 672, b == a+c - True, <lcm - True
k=7 : a=40, b=168, c=128, length = 672, b == a+c - True, <lcm - True
k=7 : a=48, b=168, c=120, length = 672, b == a+c - True, <lcm - True
k=7 : a=50, b=168, c=118, length = 672, b == a+c - True, <lcm - True
k=7 : a=58, b=168, c=110, length = 672, b == a+c - True, <lcm - True
k=7 : a=60, b=168, c=108, length = 672, b == a+c - True, <lcm - True
k=7 : a=68, b=168, c=100, length = 672, b == a+c - True, <lcm - True
k=7 : a=70, b=168, c=98, length = 672, b == a+c - True, <lcm - True
k=7 : a=78, b=168, c=90, length = 672, b == a+c - True, <lcm - True
k=7 : a=80, b=168, c=88, length = 672, b == a+c - True, <lcm - True
k=7 : a=88, b=168, c=80, length = 672, b == a+c - True, <lcm - True
k=7 : a=90, b=168, c=78, length = 672, b == a+c - True, <lcm - True
k=7 : a=98, b=168, c=70, length = 672, b == a+c - True, <lcm - True
k=7 : a=100, b=168, c=68, length = 672, b == a+c - True, <lcm - True
k=7 : a=108, b=168, c=60, length = 672, b == a+c - True, <lcm - True
k=7 : a=110, b=168, c=58, length = 672, b == a+c - True, <lcm - True
k=7 : a=118, b=168, c=50, length = 672, b == a+c - True, <lcm - True
k=7 : a=120, b=168, c=48, length = 672, b == a+c - True, <lcm - True
k=7 : a=128, b=168, c=40, length = 672, b == a+c - True, <lcm - True
k=7 : a=130, b=168, c=38, length = 672, b == a+c - True, <lcm - True
k=7 : a=138, b=168, c=30, length = 672, b == a+c - True, <lcm - True
k=7 : a=140, b=168, c=28, length = 672, b == a+c - True, <lcm - True
k=7 : a=148, b=168, c=20, length = 672, b == a+c - True, <lcm - True
k=7 : a=150, b=168, c=18, length = 672, b == a+c - True, <lcm - True
k=7 : a=158, b=168, c=10, length = 672, b == a+c - True, <lcm - True
k=7 : a=160, b=168, c=8, length = 672, b == a+c - True, <lcm - True
k=7 : a=49, b=169, c=120, length = 676, b == a+c - True, <lcm - True
k=7 : a=120, b=169, c=49, length = 676, b == a+c - True, <lcm - True
k=7 : a=2, b=170, c=168, length = 680, b == a+c - True, <lcm - True
k=7 : a=14, b=170, c=156, length = 680, b == a+c - True, <lcm - True
k=7 : a=72, b=170, c=98, length = 680, b == a+c - True, <lcm - True
k=7 : a=84, b=170, c=86, length = 680, b == a+c - True, <lcm - True
k=7 : a=86, b=170, c=84, length = 680, b == a+c - True, <lcm - True
k=7 : a=98, b=170, c=72, length = 680, b == a+c - True, <lcm - True
k=7 : a=156, b=170, c=14, length = 680, b == a+c - True, <lcm - True
k=7 : a=168, b=170, c=2, length = 680, b == a+c - True, <lcm - True
k=7 : a=60, b=172, c=112, length = 688, b == a+c - True, <lcm - True
k=7 : a=112, b=172, c=60, length = 688, b == a+c - True, <lcm - True
k=7 : a=84, b=174, c=90, length = 696, b == a+c - True, <lcm - True
k=7 : a=90, b=174, c=84, length = 696, b == a+c - True, <lcm - True
k=7 : a=55, b=175, c=120, length = 700, b == a+c - True, <lcm - True
k=7 : a=60, b=175, c=115, length = 700, b == a+c - True, <lcm - True
k=7 : a=115, b=175, c=60, length = 700, b == a+c - True, <lcm - True
k=7 : a=120, b=175, c=55, length = 700, b == a+c - True, <lcm - True
k=7 : a=36, b=176, c=140, length = 704, b == a+c - True, <lcm - True
k=7 : a=56, b=176, c=120, length = 704, b == a+c - True, <lcm - True
k=7 : a=120, b=176, c=56, length = 704, b == a+c - True, <lcm - True
k=7 : a=140, b=176, c=36, length = 704, b == a+c - True, <lcm - True
k=7 : a=10, b=178, c=168, length = 712, b == a+c - True, <lcm - True
k=7 : a=70, b=178, c=108, length = 712, b == a+c - True, <lcm - True
k=7 : a=108, b=178, c=70, length = 712, b == a+c - True, <lcm - True
k=7 : a=168, b=178, c=10, length = 712, b == a+c - True, <lcm - True
k=7 : a=60, b=179, c=119, length = 716, b == a+c - True, <lcm - True
k=7 : a=119, b=179, c=60, length = 716, b == a+c - True, <lcm - True
k=7 : a=5, b=180, c=175, length = 720, b == a+c - True, <lcm - True
k=7 : a=7, b=180, c=173, length = 720, b == a+c - True, <lcm - True
k=7 : a=12, b=180, c=168, length = 720, b == a+c - True, <lcm - True
k=7 : a=14, b=180, c=166, length = 720, b == a+c - True, <lcm - True
k=7 : a=19, b=180, c=161, length = 720, b == a+c - True, <lcm - True
k=7 : a=21, b=180, c=159, length = 720, b == a+c - True, <lcm - True
k=7 : a=26, b=180, c=154, length = 720, b == a+c - True, <lcm - True
k=7 : a=28, b=180, c=152, length = 720, b == a+c - True, <lcm - True
k=7 : a=33, b=180, c=147, length = 720, b == a+c - True, <lcm - True
k=7 : a=35, b=180, c=145, length = 720, b == a+c - True, <lcm - True
k=7 : a=40, b=180, c=140, length = 720, b == a+c - True, <lcm - True
k=7 : a=42, b=180, c=138, length = 720, b == a+c - True, <lcm - True
k=7 : a=47, b=180, c=133, length = 720, b == a+c - True, <lcm - True
k=7 : a=49, b=180, c=131, length = 720, b == a+c - True, <lcm - True
k=7 : a=54, b=180, c=126, length = 720, b == a+c - True, <lcm - True
